"Semana 28";0;0;0;0;0;0;1;0;0;0;1
"Semana 29";0;0;0;0;0;0;0;0;0;0;0
"Semana 30";0;0;0;0;0;0;0;0;0;0;0
"Semana 31";0;0;0;0;0;0;0;0;0;0;0
"Semana 32";0;0;0;0;0;0;0;0;0;0;0
"Semana 33";0;0;0;0;0;0;0;0;0;0;0
"Semana 34";0;0;0;0;0;0;0;0;0;0;0
"Semana 35";0;0;0;0;0;0;0;0;0;0;0
"Semana 36";0;0;0;0;0;0;0;1;0;0;1
"Semana 37";0;0;0;0;0;0;0;1;0;0;1
"Semana 38";0;0;0;0;0;0;0;0;0;0;0
"Semana 39";0;0;0;0;0;1;0;0;0;0;1
"Semana 40";0;0;0;0;0;0;0;0;0;0;0
"Semana 41";0;0;0;0;0;0;0;0;0;0;0
"Semana 42";0;0;0;0;0;0;0;1;0;0;1
"Semana 43";0;0;0;0;0;0;0;0;0;0;0
"Semana 44";0;0;0;0;0;0;0;0;0;0;0
"Semana 45";0;0;0;0;0;0;0;0;0;0;0
"Semana 46";0;0;0;0;0;0;0;0;0;0;0
"Semana 47";0;0;0;0;1;1;0;0;0;0;2
"Semana 48";0;0;0;0;0;0;0;0;0;0;0
"Semana 49";0;0;0;0;0;0;0;1;0;0;1
"Semana 50";0;0;0;1;0;0;0;0;0;0;1
"Semana 51";0;0;0;1;0;1;1;2;1;0;6
"Semana 52";0;0;0;0;2;2;2;0;0;0;6
"Semana 53";0;0;0;0;1;0;2;1;0;0;4
"Semana 01";0;0;0;2;4;6;10;4;0;1;27
"Semana 02";0;0;3;6;4;15;12;11;0;0;51
"Semana 03";0;0;3;1;9;19;18;25;11;0;86
"Semana 04";0;0;1;4;3;20;14;7;9;2;60
"Semana 05";0;2;2;5;10;21;23;15;9;1;88
"Semana 06";0;1;3;11;17;25;24;20;14;1;116
"Semana 07";0;1;4;4;4;14;8;10;5;1;51
"Semana 08";0;1;0;5;10;24;9;7;5;0;61
"Semana 09";1;1;3;8;13;12;14;13;3;1;69
"Semana 10";0;0;2;2;5;13;6;5;2;2;37
"Semana 11";0;1;2;4;1;3;10;8;1;1;31
"Semana 12";0;0;1;0;5;4;7;1;0;0;18
"Semana 13";0;0;0;0;0;1;1;0;1;2;5
"Semana 14";0;0;0;0;1;2;4;2;1;0;10
"Semana 15";1;0;2;1;7;13;8;5;3;1;41
"Semana 16";0;0;2;1;2;2;5;1;0;0;13
"Semana 17";0;0;0;1;0;3;2;0;0;0;6
"Semana 18";0;0;1;1;2;1;2;0;0;0;7
"Semana 19";0;0;0;0;0;0;0;0;0;0;0
"Semana 20";0;0;0;0;0;3;0;0;1;0;4
"Semana 21";0;0;1;0;0;1;0;0;0;0;2
"Semana 22";0;0;0;0;0;0;0;0;0;0;0
"Semana 23";0;0;0;0;0;0;0;0;0;0;0
"Semana 24";0;0;0;0;0;0;0;0;0;0;0
"Semana 25";0;0;0;0;0;0;0;0;0;0;0
"Semana 26";0;0;0;0;0;0;0;0;0;0;0
"Semana 27";0;0;0;0;0;0;0;0;0;0;0
"Semana 28";0;0;0;0;0;0;0;0;0;0;0
"Semana 29";0;0;0;0;0;0;0;0;0;0;0
"Semana 30";0;0;0;0;0;0;0;0;0;0;0
"Semana 31";0;0;0;0;0;0;0;0;0;0;0
"Semana 32";0;0;0;0;0;0;0;0;0;0;0
"Semana 33";0;0;0;0;0;0;0;0;0;0;0
"Semana 34";0;0;0;0;0;0;0;0;0;0;0
"Semana 35";0;0;0;0;0;0;0;0;0;0;0
"Semana 36";0;0;0;0;0;0;0;0;0;0;0
"Semana 37";0;0;0;0;0;0;0;0;0;0;0
"Semana 38";0;0;0;0;0;0;0;0;0;0;0
"Semana 39";0;0;0;0;1;0;1;0;0;0;2
"Semana 40";0;0;0;0;0;1;0;0;0;0;1
"Semana 41";0;0;0;0;0;0;0;1;0;0;1
"Semana 42";0;0;0;0;0;0;0;0;0;0;0
"Semana 43";0;0;0;0;0;0;0;0;0;0;0
"Semana 44";0;0;0;0;0;0;0;0;0;0;0
"Semana 45";0;0;0;0;0;0;1;0;0;0;1
"Semana 46";0;0;0;0;0;0;0;0;0;0;0
"Semana 47";0;0;0;0;0;0;0;0;0;0;0
"Semana 48";0;0;0;0;0;0;0;0;0;0;0
"Semana 49";0;0;0;0;0;0;1;0;0;0;1
"Semana 50";0;0;0;0;0;1;1;0;0;0;2
"Semana 51";0;0;0;0;0;1;0;0;0;0;1
"Semana 52";0;0;0;0;0;0;1;0;0;0;1
"Semana 53";0;1;0;0;1;3;2;0;1;1;9			
"Semana 01";0;0;0;0;0;0;0;0;0;0;0
"Semana 02";0;0;0;1;0;0;0;0;0;0;1
"Semana 03";0;0;0;0;1;1;1;0;0;0;3
"Semana 04";0;0;0;0;0;2;2;4;0;0;8
"Semana 05";0;0;0;0;0;0;2;2;0;0;4
"Semana 06";0;0;0;0;0;0;1;0;0;0;1
"Semana 07";0;0;0;0;0;2;0;2;0;0;4
"Semana 08";0;0;0;1;2;3;2;2;1;0;11
"Semana 09";0;1;2;0;1;1;2;0;0;0;7
"Semana 10";0;0;0;2;0;1;1;2;1;0;7
"Semana 11";0;0;0;0;0;0;1;1;0;0;2
"Semana 12";0;0;0;0;0;0;0;0;0;0;0
"Semana 13";0;0;0;0;1;1;0;0;1;0;3
"Semana 14";0;0;1;0;0;2;2;0;0;0;5
"Semana 15";0;0;1;2;3;2;1;0;0;0;9
"Semana 16";0;0;0;1;0;0;0;0;1;0;2
"Semana 17";0;0;0;0;0;0;0;0;0;0;0
"Semana 18";0;0;0;0;0;1;0;0;0;0;1
"Semana 19";0;0;0;0;0;0;0;0;0;0;0
"Semana 20";0;0;0;0;0;0;1;0;0;1;2
"Semana 21";0;0;0;0;0;0;0;0;0;0;0
"Semana 22";0;0;0;0;0;2;0;0;0;0;2
"Semana 23";0;0;0;0;0;1;0;0;0;0;1
"Semana 24";0;0;0;0;0;0;0;0;0;0;0
"Semana 25";0;0;0;0;0;0;0;0;0;0;0
